field_position,field_name,predictive_feature
204,other_works_that_day_or_dist_no7,0
205,other_works_that_day_or_dist_no8,0
206,other_works_that_day_or_dist_no9,0
207,other_works_that_day_or_dist_no10,0
208,other_works_that_day_or_dist_no11,0
209,other_works_that_day_or_dist_no12,0
210,bris_run_style_designation,0
211,quirin_style_speed_points,0
212,reserved,0
213,reserved,0
214,2f_bris_pace_par_for_level,0
215,4f_bris_pace_par_for_level,0
216,6f_bris_pace_par_for_level,0
217,bris_speed_par_for_class_level,0
218,bris_late_pace_par_for_level,0
219,t_or_j_combo_no_starts_365d,0
220,t_or_j_combo_no_wins_365d,0
221,t_or_j_combo_no_places_365d,0
222,t_or_j_combo_no_shows_365d,0
223,t_or_j_combo_$2_roi_365d,0
224,no_of_days_since_last_race,0
225,complete_race_condition_lines_225,0
226,complete_race_condition_lines_226,0
227,complete_race_condition_lines_227,0
228,complete_race_condition_lines_228,0
229,complete_race_condition_lines_229,0
230,complete_race_condition_lines_230,0
231,lifetime_starts_all_weather_surface,0
232,lifetime_wins_all_weather_surface,0
233,lifetime_places_all_weather_surface,0
234,lifetime_shows_all_weather_surface,0
235,lifetime_earnings_all_weather_surface,0
236,best_bris_speed_all_weather_surface,0
237,reserved,0
238,low_claiming_price_for_todays_race,0
239,statebred_flag_s_for_todays_race,0
240,wager_types_for_this_race_240,0
241,wager_types_for_this_race_241,0
242,wager_types_for_this_race_242,0
243,wager_types_for_this_race_243,0
244,wager_types_for_this_race_244,0
245,wager_types_for_this_race_245,0
246,wager_types_for_this_race_246,0
247,wager_types_for_this_race_247,0
248,wager_types_for_this_race_248,0
249,reserved,0
250,reserved,0
251,bris_prime_power_rating,0
252,reserved_fields_for_future_use_252,0
253,reserved_fields_for_future_use_253,0
254,reserved_fields_for_future_use_254,0
255,reserved_fields_for_future_use_255,0
256,265_race_date_256,0
257,265_race_date_257,0
258,265_race_date_258,0
259,265_race_date_259,0
260,265_race_date_260,0
261,265_race_date_261,0
262,265_race_date_262,0
263,265_race_date_263,0
264,265_race_date_264,0
265,265_race_date_265,0
266,no_of_days_since_previous_rac_266,0
267,no_of_days_since_previous_rac_267,0
268,no_of_days_since_previous_rac_268,0
269,no_of_days_since_previous_rac_269,0
270,no_of_days_since_previous_rac_270,0
271,no_of_days_since_previous_rac_271,0
272,no_of_days_since_previous_rac_272,0
273,no_of_days_since_previous_rac_273,0
274,no_of_days_since_previous_rac_274,0
275,reserved_no_days_since_prev_rac,0
276,track_code_276,0
277,track_code_277,0
278,track_code_278,0
279,track_code_279,0
280,track_code_280,0
281,track_code_281,0
282,track_code_282,0
283,track_code_283,0
284,track_code_284,0
285,track_code_285,0
286,bris_track_code_286,0
287,bris_track_code_287,0
288,bris_track_code_288,0
289,bris_track_code_289,0
290,bris_track_code_290,0
291,bris_track_code_291,0
292,bris_track_code_292,0
293,bris_track_code_293,0
294,bris_track_code_294,0
295,bris_track_code_295,0
296,race_no_296,0
297,race_no_297,0
298,race_no_298,0
299,race_no_299,0
300,race_no_300,0
301,race_no_301,0
302,race_no_302,0
303,race_no_303,0
304,race_no_304,0
305,race_no_305,0
306,track_condition_306,0
307,track_condition_307,0
308,track_condition_308,0
309,track_condition_309,0
310,track_condition_310,0
311,track_condition_311,0
312,track_condition_312,0
313,track_condition_313,0
314,track_condition_314,0
315,track_condition_315,0
316,distance_in_yards_316,0
317,distance_in_yards_317,0
318,distance_in_yards_318,0
319,distance_in_yards_319,0
320,distance_in_yards_320,0
321,distance_in_yards_321,0
322,distance_in_yards_322,0
323,distance_in_yards_323,0
324,distance_in_yards_324,0
325,distance_in_yards_325,0
326,surface_326,0
327,surface_327,0
328,surface_328,0
329,surface_329,0
330,surface_330,0
331,surface_331,0
332,surface_332,0
333,surface_333,0
334,surface_334,0
335,surface_335,0
336,special_chute_indicator_336,0
337,special_chute_indicator_337,0
338,special_chute_indicator_338,0
339,special_chute_indicator_339,0
340,special_chute_indicator_340,0
341,special_chute_indicator_341,0
342,special_chute_indicator_342,0
343,special_chute_indicator_343,0
344,special_chute_indicator_344,0
345,special_chute_indicator_345,0
346,no_of_entrants_346,0
347,no_of_entrants_347,0
348,no_of_entrants_348,0
349,no_of_entrants_349,0
350,no_of_entrants_350,0
351,no_of_entrants_351,0
352,no_of_entrants_352,0
353,no_of_entrants_353,0
354,no_of_entrants_354,0
355,no_of_entrants_355,0
356,post_position_356,0
357,post_position_357,0
358,post_position_358,0
359,post_position_359,0
360,post_position_360,0
361,post_position_361,0
362,post_position_362,0
363,post_position_363,0
364,post_position_364,0
365,post_position_365,0
366,equipment_366,0
367,equipment_367,0
368,equipment_368,0
369,equipment_369,0
370,equipment_370,0
371,equipment_371,0
372,equipment_372,0
373,equipment_373,0
374,equipment_374,0
375,equipment_375,0
376,racename_of_previous_races_376,0
377,racename_of_previous_races_377,0
378,racename_of_previous_races_378,0
379,racename_of_previous_races_379,0
380,racename_of_previous_races_380,0
381,racename_of_previous_races_381,0
382,racename_of_previous_races_382,0
383,racename_of_previous_races_383,0
384,racename_of_previous_races_384,0
385,racename_of_previous_races_385,0
386,medication_see_also_field_no62_386,0
387,medication_see_also_field_no62_387,0
388,medication_see_also_field_no62_388,0
389,medication_see_also_field_no62_389,0
390,medication_see_also_field_no62_390,0
391,medication_see_also_field_no62_391,0
392,medication_see_also_field_no62_392,0
393,medication_see_also_field_no62_393,0
394,medication_see_also_field_no62_394,0
395,medication_see_also_field_no62_395,0
396,trip_comment_396,0
397,trip_comment_397,0
398,trip_comment_398,0
399,trip_comment_399,0
400,trip_comment_400,0
401,trip_comment_401,0
402,trip_comment_402,0
403,trip_comment_403,0
404,trip_comment_404,0
405,trip_comment_405,0
406,winners_name_406,0
407,winners_name_407,0
408,winners_name_408,0
409,winners_name_409,0
410,winners_name_410,0
411,winners_name_411,0
412,winners_name_412,0
413,winners_name_413,0
414,winners_name_414,0
415,winners_name_415,0
416,2nd_place_finishers_name_416,0
417,2nd_place_finishers_name_417,0
418,2nd_place_finishers_name_418,0
419,2nd_place_finishers_name_419,0
420,2nd_place_finishers_name_420,0
421,2nd_place_finishers_name_421,0
422,2nd_place_finishers_name_422,0
423,2nd_place_finishers_name_423,0
424,2nd_place_finishers_name_424,0
425,2nd_place_finishers_name_425,0
426,3rd_place_finishers_name_426,0
427,3rd_place_finishers_name_427,0
428,3rd_place_finishers_name_428,0
429,3rd_place_finishers_name_429,0
430,3rd_place_finishers_name_430,0
431,3rd_place_finishers_name_431,0
432,3rd_place_finishers_name_432,0
433,3rd_place_finishers_name_433,0
434,3rd_place_finishers_name_434,0
435,3rd_place_finishers_name_435,0
436,winners_weight_carried_436,0
437,winners_weight_carried_437,0
438,winners_weight_carried_438,0
439,winners_weight_carried_439,0
440,winners_weight_carried_440,0
441,winners_weight_carried_441,0
442,winners_weight_carried_442,0
443,winners_weight_carried_443,0
444,winners_weight_carried_444,0
445,winners_weight_carried_445,0
446,2nd_place_weight_carried_446,0
447,2nd_place_weight_carried_447,0
448,2nd_place_weight_carried_448,0
449,2nd_place_weight_carried_449,0
450,2nd_place_weight_carried_450,0
451,2nd_place_weight_carried_451,0
452,2nd_place_weight_carried_452,0
453,2nd_place_weight_carried_453,0
454,2nd_place_weight_carried_454,0
455,2nd_place_weight_carried_455,0
456,2nd_place_weight_carrie_456,0
457,2nd_place_weight_carrie_457,0
458,2nd_place_weight_carrie_458,0
459,2nd_place_weight_carrie_459,0
460,2nd_place_weight_carrie_460,0
461,2nd_place_weight_carrie_461,0
462,2nd_place_weight_carrie_462,0
463,2nd_place_weight_carrie_463,0
464,2nd_place_weight_carrie_464,0
465,2nd_place_weight_carrie_465,0
466,winners_margin_466,0
467,winners_margin_467,0
468,winners_margin_468,0
469,winners_margin_469,0
470,winners_margin_470,0
471,winners_margin_471,0
472,winners_margin_472,0
473,winners_margin_473,0
474,winners_margin_474,0
475,winners_margin_475,0
476,2nd_place_margin_476,0
477,2nd_place_margin_477,0
478,2nd_place_margin_478,0
479,2nd_place_margin_479,0
480,2nd_place_margin_480,0
481,2nd_place_margin_481,0
482,2nd_place_margin_482,0
483,2nd_place_margin_483,0
484,2nd_place_margin_484,0
485,2nd_place_margin_485,0
486,3rd_place_margin_486,0
487,3rd_place_margin_487,0
488,3rd_place_margin_488,0
489,3rd_place_margin_489,0
490,3rd_place_margin_490,0
491,3rd_place_margin_491,0
492,3rd_place_margin_492,0
493,3rd_place_margin_493,0
494,3rd_place_margin_494,0
495,3rd_place_margin_495,0
496,extra_comment_line_496,0
497,extra_comment_line_497,0
498,extra_comment_line_498,0
499,extra_comment_line_499,0
500,extra_comment_line_500,0
501,extra_comment_line_501,0
502,extra_comment_line_502,0
503,extra_comment_line_503,0
504,extra_comment_line_504,0
505,extra_comment_line_505,0
506,weight_506,0
507,weight_507,0
508,weight_508,0
509,weight_509,0
510,weight_510,0
511,weight_511,0
512,weight_512,0
513,weight_513,0
514,weight_514,0
515,weight_515,0
516,odds_516,0
517,odds_517,0
518,odds_518,0
519,odds_519,0
520,odds_520,0
521,odds_521,0
522,odds_522,0
523,odds_523,0
524,odds_524,0
525,odds_525,0
526,entry_526,0
527,entry_527,0
528,entry_528,0
529,entry_529,0
530,entry_530,0
531,entry_531,0
532,entry_532,0
533,entry_533,0
534,entry_534,0
535,entry_535,0
536,race_classification_536,0
537,race_classification_537,0
538,race_classification_538,0
539,race_classification_539,0
540,race_classification_540,0
541,race_classification_541,0
542,race_classification_542,0
543,race_classification_543,0
544,race_classification_544,0
545,race_classification_545,0
546,claiming_price_of_horse_546,0
547,claiming_price_of_horse_547,0
548,claiming_price_of_horse_548,0
549,claiming_price_of_horse_549,0
550,claiming_price_of_horse_550,0
551,claiming_price_of_horse_551,0
552,claiming_price_of_horse_552,0
553,claiming_price_of_horse_553,0
554,claiming_price_of_horse_554,0
555,claiming_price_of_horse_555,0
556,purse_556,0
557,purse_557,0
558,purse_558,0
559,purse_559,0
560,purse_560,0
561,purse_561,0
562,purse_562,0
563,purse_563,0
564,purse_564,0
565,purse_565,0
566,start_call_position_566,0
567,start_call_position_567,0
568,start_call_position_568,0
569,start_call_position_569,0
570,start_call_position_570,0
571,start_call_position_571,0
572,start_call_position_572,0
573,start_call_position_573,0
574,start_call_position_574,0
575,start_call_position_575,0
576,0st_call_positionif_any_576,0
577,0st_call_positionif_any_577,0
578,0st_call_positionif_any_578,0
579,0st_call_positionif_any_579,0
580,0st_call_positionif_any_580,0
581,0st_call_positionif_any_581,0
582,0st_call_positionif_any_582,0
583,0st_call_positionif_any_583,0
584,0st_call_positionif_any_584,0
585,0st_call_positionif_any_585,0
586,2nd_call_positionif_any_586,0
587,2nd_call_positionif_any_587,0
588,2nd_call_positionif_any_588,0
589,2nd_call_positionif_any_589,0
590,2nd_call_positionif_any_590,0
591,2nd_call_positionif_any_591,0
592,2nd_call_positionif_any_592,0
593,2nd_call_positionif_any_593,0
594,2nd_call_positionif_any_594,0
595,2nd_call_positionif_any_595,0
596,gate_call_positionif_any_596,0
597,gate_call_positionif_any_597,0
598,gate_call_positionif_any_598,0
599,gate_call_positionif_any_599,0
600,gate_call_positionif_any_600,0
601,gate_call_positionif_any_601,0
602,gate_call_positionif_any_602,0
603,gate_call_positionif_any_603,0
604,gate_call_positionif_any_604,0
605,gate_call_positionif_any_605,0
606,stretch_position_if_any_606,0
607,stretch_position_if_any_607,0
608,stretch_position_if_any_608,0
609,stretch_position_if_any_609,0
610,stretch_position_if_any_610,0
611,stretch_position_if_any_611,0
612,stretch_position_if_any_612,0
613,stretch_position_if_any_613,0
614,stretch_position_if_any_614,0
615,stretch_position_if_any_615,0
616,finish_position_616,0
617,finish_position_617,0
618,finish_position_618,0
619,finish_position_619,0
620,finish_position_620,0
621,finish_position_621,0
622,finish_position_622,0
623,finish_position_623,0
624,finish_position_624,0
625,finish_position_625,0
626,money_position_626,0
627,money_position_627,0
628,money_position_628,0
629,money_position_629,0
630,money_position_630,0
631,money_position_631,0
632,money_position_632,0
633,money_position_633,0
634,money_position_634,0
635,money_position_635,0
636,start_call_btnlngths_or_ldr_mar_636,0
637,start_call_btnlngths_or_ldr_mar_637,0
638,start_call_btnlngths_or_ldr_mar_638,0
639,start_call_btnlngths_or_ldr_mar_639,0
640,start_call_btnlngths_or_ldr_mar_640,0
641,start_call_btnlngths_or_ldr_mar_641,0
642,start_call_btnlngths_or_ldr_mar_642,0
643,start_call_btnlngths_or_ldr_mar_643,0
644,start_call_btnlngths_or_ldr_mar_644,0
645,start_call_btnlngths_or_ldr_mar_645,0
646,start_call_btnlngths_only_646,0
647,start_call_btnlngths_only_647,0
648,start_call_btnlngths_only_648,0
649,start_call_btnlngths_only_649,0
650,start_call_btnlngths_only_650,0
651,start_call_btnlngths_only_651,0
652,start_call_btnlngths_only_652,0
653,start_call_btnlngths_only_653,0
654,start_call_btnlngths_only_654,0
655,start_call_btnlngths_only_655,0
656,0st_call_btnlngths_or_ldr_margi_656,0
657,0st_call_btnlngths_or_ldr_margi_657,0
658,0st_call_btnlngths_or_ldr_margi_658,0
659,0st_call_btnlngths_or_ldr_margi_659,0
660,0st_call_btnlngths_or_ldr_margi_660,0
661,0st_call_btnlngths_or_ldr_margi_661,0
662,0st_call_btnlngths_or_ldr_margi_662,0
663,0st_call_btnlngths_or_ldr_margi_663,0
664,0st_call_btnlngths_or_ldr_margi_664,0
665,0st_call_btnlngths_or_ldr_margi_665,0
666,0st_call_btnlngths_only_666,0
667,0st_call_btnlngths_only_667,0
668,0st_call_btnlngths_only_668,0
669,0st_call_btnlngths_only_669,0
670,0st_call_btnlngths_only_670,0
671,0st_call_btnlngths_only_671,0
672,0st_call_btnlngths_only_672,0
673,0st_call_btnlngths_only_673,0
674,0st_call_btnlngths_only_674,0
675,0st_call_btnlngths_only_675,0
676,2nd_call_btnlngths_or_ldr_margi_676,0
677,2nd_call_btnlngths_or_ldr_margi_677,0
678,2nd_call_btnlngths_or_ldr_margi_678,0
679,2nd_call_btnlngths_or_ldr_margi_679,0
680,2nd_call_btnlngths_or_ldr_margi_680,0
681,2nd_call_btnlngths_or_ldr_margi_681,0
682,2nd_call_btnlngths_or_ldr_margi_682,0
683,2nd_call_btnlngths_or_ldr_margi_683,0
684,2nd_call_btnlngths_or_ldr_margi_684,0
685,2nd_call_btnlngths_or_ldr_margi_685,0
686,2nd_call_btnlngths_only_686,0
687,2nd_call_btnlngths_only_687,0
688,2nd_call_btnlngths_only_688,0
689,2nd_call_btnlngths_only_689,0
690,2nd_call_btnlngths_only_690,0
691,2nd_call_btnlngths_only_691,0
692,2nd_call_btnlngths_only_692,0
693,2nd_call_btnlngths_only_693,0
694,2nd_call_btnlngths_only_694,0
695,2nd_call_btnlngths_only_695,0
696,bris_race_shape_1st_call_696,0
697,bris_race_shape_1st_call_697,0
698,bris_race_shape_1st_call_698,0
699,bris_race_shape_1st_call_699,0
700,bris_race_shape_1st_call_700,0
701,bris_race_shape_1st_call_701,0
702,bris_race_shape_1st_call_702,0
703,bris_race_shape_1st_call_703,0
704,bris_race_shape_1st_call_704,0
705,bris_race_shape_1st_call_705,0
706,reserved_706,0
707,reserved_707,0
708,reserved_708,0
709,reserved_709,0
710,reserved_710,0
711,reserved_711,0
712,reserved_712,0
713,reserved_713,0
714,reserved_714,0
715,reserved_715,0
716,stretch_btnlngths_or_ldr_margi_716,0
717,stretch_btnlngths_or_ldr_margi_717,0
718,stretch_btnlngths_or_ldr_margi_718,0
719,stretch_btnlngths_or_ldr_margi_719,0
720,stretch_btnlngths_or_ldr_margi_720,0
721,stretch_btnlngths_or_ldr_margi_721,0
722,stretch_btnlngths_or_ldr_margi_722,0
723,stretch_btnlngths_or_ldr_margi_723,0
724,stretch_btnlngths_or_ldr_margi_724,0
725,stretch_btnlngths_or_ldr_margi_725,0
726,stretch_btnlngths_only_726,0
727,stretch_btnlngths_only_727,0
728,stretch_btnlngths_only_728,0
729,stretch_btnlngths_only_729,0
730,stretch_btnlngths_only_730,0
731,stretch_btnlngths_only_731,0
732,stretch_btnlngths_only_732,0
733,stretch_btnlngths_only_733,0
734,stretch_btnlngths_only_734,0
735,stretch_btnlngths_only_735,0
736,finish_btnlngths_or_wnrs_marg_736,0
737,finish_btnlngths_or_wnrs_marg_737,0
738,finish_btnlngths_or_wnrs_marg_738,0
739,finish_btnlngths_or_wnrs_marg_739,0
740,finish_btnlngths_or_wnrs_marg_740,0
741,finish_btnlngths_or_wnrs_marg_741,0
742,finish_btnlngths_or_wnrs_marg_742,0
743,finish_btnlngths_or_wnrs_marg_743,0
744,finish_btnlngths_or_wnrs_marg_744,0
745,finish_btnlngths_or_wnrs_marg_745,0
746,finish_btnlngths_only_746,0
747,finish_btnlngths_only_747,0
748,finish_btnlngths_only_748,0
749,finish_btnlngths_only_749,0
750,finish_btnlngths_only_750,0
751,finish_btnlngths_only_751,0
752,finish_btnlngths_only_752,0
753,finish_btnlngths_only_753,0
754,finish_btnlngths_only_754,0
755,finish_btnlngths_only_755,0
756,bris_race_shape_2nd_call_756,0
757,bris_race_shape_2nd_call_757,0
758,bris_race_shape_2nd_call_758,0
759,bris_race_shape_2nd_call_759,0
760,bris_race_shape_2nd_call_760,0
761,bris_race_shape_2nd_call_761,0
762,bris_race_shape_2nd_call_762,0
763,bris_race_shape_2nd_call_763,0
764,bris_race_shape_2nd_call_764,0
765,bris_race_shape_2nd_call_765,0
766,bris_2f_pace_fig_766,0
767,bris_2f_pace_fig_767,0
768,bris_2f_pace_fig_768,0
769,bris_2f_pace_fig_769,0
770,bris_2f_pace_fig_770,0
771,bris_2f_pace_fig_771,0
772,bris_2f_pace_fig_772,0
773,bris_2f_pace_fig_773,0
774,bris_2f_pace_fig_774,0
775,bris_2f_pace_fig_775,0
776,bris_4f_pace_fig_776,0
777,bris_4f_pace_fig_777,0
778,bris_4f_pace_fig_778,0
779,bris_4f_pace_fig_779,0
780,bris_4f_pace_fig_780,0
781,bris_4f_pace_fig_781,0
782,bris_4f_pace_fig_782,0
783,bris_4f_pace_fig_783,0
784,bris_4f_pace_fig_784,0
785,bris_4f_pace_fig_785,0
786,bris_6f_pace_fig_786,0
787,bris_6f_pace_fig_787,0
788,bris_6f_pace_fig_788,0
789,bris_6f_pace_fig_789,0
790,bris_6f_pace_fig_790,0
791,bris_6f_pace_fig_791,0
792,bris_6f_pace_fig_792,0
793,bris_6f_pace_fig_793,0
794,bris_6f_pace_fig_794,0
795,bris_6f_pace_fig_795,0
796,bris_8f_pace_fig_796,0
797,bris_8f_pace_fig_797,0
798,bris_8f_pace_fig_798,0
799,bris_8f_pace_fig_799,0
800,bris_8f_pace_fig_800,0
801,bris_8f_pace_fig_801,0
802,bris_8f_pace_fig_802,0
803,bris_8f_pace_fig_803,0
804,bris_8f_pace_fig_804,0
805,bris_8f_pace_fig_805,0
806,bris_10f_pace_fig_806,0
807,bris_10f_pace_fig_807,0
808,bris_10f_pace_fig_808,0
809,bris_10f_pace_fig_809,0
810,bris_10f_pace_fig_810,0
811,bris_10f_pace_fig_811,0
812,bris_10f_pace_fig_812,0
813,bris_10f_pace_fig_813,0
814,bris_10f_pace_fig_814,0
815,bris_10f_pace_fig_815,0
816,bris_late_pace_fig_816,0
817,bris_late_pace_fig_817,0
818,bris_late_pace_fig_818,0
819,bris_late_pace_fig_819,0
820,bris_late_pace_fig_820,0
821,bris_late_pace_fig_821,0
822,bris_late_pace_fig_822,0
823,bris_late_pace_fig_823,0
824,bris_late_pace_fig_824,0
825,bris_late_pace_fig_825,0
826,reserved_826,0
827,reserved_827,0
828,reserved_828,0
829,reserved_829,0
830,reserved_830,0
831,reserved_831,0
832,reserved_832,0
833,reserved_833,0
834,reserved_834,0
835,reserved_835,0
836,reserved_836,0
837,reserved_837,0
838,reserved_838,0
839,reserved_839,0
840,reserved_840,0
841,reserved_841,0
842,reserved_842,0
843,reserved_843,0
844,reserved_844,0
845,reserved_845,0
846,bris_speed_rating_846,0
847,bris_speed_rating_847,0
848,bris_speed_rating_848,0
849,bris_speed_rating_849,0
850,bris_speed_rating_850,0
851,bris_speed_rating_851,0
852,bris_speed_rating_852,0
853,bris_speed_rating_853,0
854,bris_speed_rating_854,0
855,bris_speed_rating_855,0
856,speed_rating_856,0
857,speed_rating_857,0
858,speed_rating_858,0
859,speed_rating_859,0
860,speed_rating_860,0
861,speed_rating_861,0
862,speed_rating_862,0
863,speed_rating_863,0
864,speed_rating_864,0
865,speed_rating_865,0
866,track_variant_866,0
867,track_variant_867,0
868,track_variant_868,0
869,track_variant_869,0
870,track_variant_870,0
871,track_variant_871,0
872,track_variant_872,0
873,track_variant_873,0
874,track_variant_874,0
875,track_variant_875,0
876,2f_fraction_if_any_876,0
877,2f_fraction_if_any_877,0
878,2f_fraction_if_any_878,0
879,2f_fraction_if_any_879,0
880,2f_fraction_if_any_880,0
881,2f_fraction_if_any_881,0
882,2f_fraction_if_any_882,0
883,2f_fraction_if_any_883,0
884,2f_fraction_if_any_884,0
885,2f_fraction_if_any_885,0
886,3f_fraction_if_any_886,0
887,3f_fraction_if_any_887,0
888,3f_fraction_if_any_888,0
889,3f_fraction_if_any_889,0
890,3f_fraction_if_any_890,0
891,3f_fraction_if_any_891,0
892,3f_fraction_if_any_892,0
893,3f_fraction_if_any_893,0
894,3f_fraction_if_any_894,0
895,3f_fraction_if_any_895,0
896,3f_fraction_if_any_896,0
897,3f_fraction_if_any_897,0
898,3f_fraction_if_any_898,0
